Solving testing_graphs/data_2_partite_tparisi.csv...
Graph #301/4000: True, time=0.000036s
Graph #302/4000: True, time=0.000033s
Graph #303/4000: True, time=0.000040s
Graph #304/4000: False, time=0.000049s
Graph #305/4000: False, time=0.000051s
Graph #306/4000: False, time=0.000050s
Graph #307/4000: False, time=0.000051s
Graph #308/4000: True, time=0.000039s
Graph #309/4000: True, time=0.000038s
Graph #310/4000: False, time=0.000051s
Graph #311/4000: True, time=0.000042s
Graph #312/4000: False, time=0.000044s
Graph #313/4000: False, time=0.000051s
Graph #314/4000: True, time=0.000038s
Graph #315/4000: True, time=0.000036s
Graph #316/4000: True, time=0.000035s
Graph #317/4000: False, time=0.000044s
Graph #318/4000: True, time=0.000039s
Graph #319/4000: True, time=0.000037s
Graph #320/4000: False, time=0.000044s
Graph #321/4000: False, time=0.000046s
Graph #322/4000: False, time=0.000048s
Graph #323/4000: False, time=0.000040s
Graph #324/4000: False, time=0.000046s
Graph #325/4000: False, time=0.000046s
Graph #326/4000: False, time=0.000038s
Graph #327/4000: False, time=0.000049s
Graph #328/4000: False, time=0.000049s
Graph #329/4000: False, time=0.000045s
Graph #330/4000: False, time=0.000044s
Graph #331/4000: False, time=0.000047s
Graph #332/4000: False, time=0.000040s
Graph #333/4000: False, time=0.000039s
Graph #334/4000: False, time=0.000053s
Graph #335/4000: False, time=0.000044s
Graph #336/4000: False, time=0.000045s
Graph #337/4000: False, time=0.000049s
Graph #338/4000: False, time=0.000038s
Graph #339/4000: False, time=0.000041s
Graph #340/4000: False, time=0.000043s
Graph #341/4000: False, time=0.000036s
Graph #342/4000: False, time=0.000040s
Graph #343/4000: False, time=0.000052s
Graph #344/4000: False, time=0.000048s
Graph #345/4000: False, time=0.000046s
Graph #346/4000: False, time=0.000045s
Graph #347/4000: True, time=0.000037s
Graph #348/4000: False, time=0.000040s
Graph #349/4000: False, time=0.000053s
Graph #350/4000: True, time=0.000045s
Graph #351/4000: True, time=0.000041s
Graph #352/4000: False, time=0.000041s
Graph #353/4000: False, time=0.000038s
Graph #354/4000: False, time=0.000045s
Graph #355/4000: False, time=0.000044s
Graph #356/4000: False, time=0.000048s
Graph #357/4000: False, time=0.000038s
Graph #358/4000: True, time=0.000037s
Graph #359/4000: False, time=0.000051s
Graph #360/4000: False, time=0.000044s
Graph #361/4000: True, time=0.000044s
Graph #362/4000: False, time=0.000049s
Graph #363/4000: False, time=0.000039s
Graph #364/4000: False, time=0.000047s
Graph #365/4000: False, time=0.000037s
Graph #366/4000: True, time=0.000045s
Graph #367/4000: False, time=0.000047s
Graph #368/4000: True, time=0.000046s
Graph #369/4000: False, time=0.000050s
Graph #370/4000: False, time=0.000042s
Graph #371/4000: False, time=0.000040s
Graph #372/4000: False, time=0.000049s
Graph #373/4000: False, time=0.000050s
Graph #374/4000: False, time=0.000051s
Graph #375/4000: False, time=0.000042s
Graph #376/4000: True, time=0.000049s
Graph #377/4000: False, time=0.000066s
Graph #378/4000: False, time=0.000072s
Graph #379/4000: False, time=0.000048s
Graph #380/4000: False, time=0.000049s
Graph #381/4000: False, time=0.000046s
Graph #382/4000: False, time=0.000044s
Graph #383/4000: False, time=0.000037s
Graph #384/4000: False, time=0.000037s
Graph #385/4000: False, time=0.000047s
Graph #386/4000: True, time=0.000044s
Graph #387/4000: False, time=0.000041s
Graph #388/4000: False, time=0.000036s
Graph #389/4000: False, time=0.000046s
Graph #390/4000: False, time=0.000037s
Graph #391/4000: False, time=0.000048s
Graph #392/4000: False, time=0.000049s
Graph #393/4000: False, time=0.000055s
Graph #394/4000: False, time=0.000043s
Graph #395/4000: False, time=0.000045s
Graph #396/4000: False, time=0.000047s
Graph #397/4000: False, time=0.000053s
Graph #398/4000: False, time=0.000053s
Graph #399/4000: False, time=0.000043s
Graph #400/4000: False, time=0.000039s
Graph #401/4000: True, time=0.000066s
Graph #402/4000: True, time=0.000072s
Graph #403/4000: True, time=0.000069s
Graph #404/4000: False, time=0.000090s
Graph #405/4000: False, time=0.000097s
Graph #406/4000: False, time=0.000099s
Graph #407/4000: True, time=0.000073s
Graph #408/4000: True, time=0.000071s
Graph #409/4000: True, time=0.000067s
Graph #410/4000: False, time=0.000091s
Graph #411/4000: False, time=0.000092s
Graph #412/4000: True, time=0.000068s
Graph #413/4000: True, time=0.000071s
Graph #414/4000: True, time=0.000068s
Graph #415/4000: True, time=0.000066s
Graph #416/4000: True, time=0.000064s
Graph #417/4000: False, time=0.000092s
Graph #418/4000: False, time=0.000089s
Graph #419/4000: False, time=0.000089s
Graph #420/4000: True, time=0.000063s
Graph #421/4000: False, time=0.000087s
Graph #422/4000: False, time=0.000091s
Graph #423/4000: True, time=0.000065s
Graph #424/4000: False, time=0.000096s
Graph #425/4000: True, time=0.000071s
Graph #426/4000: False, time=0.000111s
Graph #427/4000: True, time=0.000068s
Graph #428/4000: True, time=0.000066s
Graph #429/4000: False, time=0.000088s
Graph #430/4000: False, time=0.000090s
Graph #431/4000: True, time=0.000065s
Graph #432/4000: True, time=0.000068s
Graph #433/4000: True, time=0.000075s
Graph #434/4000: False, time=0.000100s
Graph #435/4000: True, time=0.000072s
Graph #436/4000: False, time=0.000093s
Graph #437/4000: False, time=0.000085s
Graph #438/4000: True, time=0.000072s
Graph #439/4000: True, time=0.000074s
Graph #440/4000: False, time=0.000115s
Graph #441/4000: False, time=0.000088s
Graph #442/4000: False, time=0.000088s
Graph #443/4000: False, time=0.000079s
Graph #444/4000: False, time=0.000082s
Graph #445/4000: False, time=0.000079s
Graph #446/4000: False, time=0.000086s
Graph #447/4000: False, time=0.000072s
Graph #448/4000: False, time=0.000080s
Graph #449/4000: False, time=0.000082s
Graph #450/4000: False, time=0.000078s
Graph #451/4000: True, time=0.000067s
Graph #452/4000: False, time=0.000077s
Graph #453/4000: False, time=0.000075s
Graph #454/4000: False, time=0.000086s
Graph #455/4000: True, time=0.000071s
Graph #456/4000: False, time=0.000100s
Graph #457/4000: False, time=0.000086s
Graph #458/4000: False, time=0.000081s
Graph #459/4000: False, time=0.000089s
Graph #460/4000: False, time=0.000085s
Graph #461/4000: False, time=0.000074s
Graph #462/4000: False, time=0.000072s
Graph #463/4000: False, time=0.000081s
Graph #464/4000: False, time=0.000078s
Graph #465/4000: False, time=0.000075s
Graph #466/4000: True, time=0.000066s
Graph #467/4000: False, time=0.000085s
Graph #468/4000: False, time=0.000072s
Graph #469/4000: False, time=0.000076s
Graph #470/4000: False, time=0.000081s
Graph #471/4000: False, time=0.000083s
Graph #472/4000: False, time=0.000077s
Graph #473/4000: False, time=0.000084s
Graph #474/4000: False, time=0.000082s
Graph #475/4000: False, time=0.000090s
Graph #476/4000: False, time=0.000090s
Graph #477/4000: False, time=0.000083s
Graph #478/4000: False, time=0.000076s
Graph #479/4000: False, time=0.000082s
Graph #480/4000: False, time=0.000101s
Graph #481/4000: False, time=0.000127s
Graph #482/4000: False, time=0.000137s
Graph #483/4000: True, time=0.000110s
Graph #484/4000: False, time=0.000129s
Graph #485/4000: True, time=0.000092s
Graph #486/4000: True, time=0.000098s
Graph #487/4000: True, time=0.000107s
Graph #488/4000: False, time=0.000142s
Graph #489/4000: True, time=0.000097s
Graph #490/4000: True, time=0.000107s
Graph #491/4000: True, time=0.000098s
Graph #492/4000: True, time=0.000098s
Graph #493/4000: True, time=0.000100s
Graph #494/4000: False, time=0.000136s
Graph #495/4000: True, time=0.000089s
Graph #496/4000: True, time=0.000091s
Graph #497/4000: True, time=0.000089s
Graph #498/4000: True, time=0.000093s
Graph #499/4000: False, time=0.000149s
Graph #500/4000: False, time=0.000124s
Graph #501/4000: True, time=0.000098s
Graph #502/4000: False, time=0.000126s
Graph #503/4000: True, time=0.000096s
